ID,Q1,Q2,Q3,Q4
1162,Weekly,More,Lack of sit down dining elements,Fast-food
1163,Weekly,More,Lack of sit down dining elements,Sit-down dining
1164,Rarely,Less,Quality of food,Fast-food
1165,Rarely,Less,High prices,Fast-food
1166,Never visited before,Less,High prices,Sit-down dining
1167,Rarely,Less,High prices,Sit-down dining
1168,Rarely,Less,High prices,Sit-down dining
1169,Weekly,Less,Lack of sit down dining elements,Fast-food
1170,Rarely,Less,Poor service,Fast-food
1171,Monthly,Less,Lack of sit down dining elements,Fast-food
1172,Daily,More,Lack of sit down dining elements,Sit-down dining
1173,Monthly,More,Lack of sit down dining elements,Fast-food
1174,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1175,Rarely,Less,Poor service,Sit-down dining
1176,Weekly,Less,Quality of food,Sit-down dining
1177,Monthly,Less,Quality of food,Fast-food
1178,Weekly,More,High prices,Sit-down dining
1179,Daily,Less,Quality of food,Sit-down dining
1180,Rarely,Less,High prices,Fast-food
1181,Daily,Less,High prices,Fast-food
1182,Monthly,Less,Lack of sit down dining elements,Fast-food
1183,Daily,Less,Lack of sit down dining elements,Fast-food
1184,Rarely,Less,Lack of sit down dining elements,Fast-food
1185,Rarely,Less,High prices,Fast-food
1186,Never visited before,Less,Quality of food,Sit-down dining
1187,Rarely,Less,Quality of food,Sit-down dining
1188,Monthly,More,High prices,Fast-food
1189,Monthly,Less,High prices,Sit-down dining
1190,Rarely,Less,Lack of sit down dining elements,Fast-food
1191,Monthly,Less,Lack of sit down dining elements,Fast-food
1192,Never visited before,Less,High prices,Sit-down dining
1193,Weekly,Less,Poor service,Sit-down dining
1194,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1195,Weekly,Less,High prices,Fast-food
1196,Monthly,Less,Lack of sit down dining elements,Fast-food
1197,Rarely,Less,High prices,Fast-food
1198,Monthly,Less,Poor service,Fast-food
1199,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1200,Rarely,Less,Poor service,Fast-food
1201,Never visited before,Less,Quality of food,Fast-food
1202,Never visited before,Less,High prices,Fast-food
1203,Monthly,Less,High prices,Fast-food
1204,Never visited before,Less,Poor service,Fast-food
1205,Rarely,More,Poor service,Fast-food
1206,Rarely,Less,Quality of food,Sit-down dining
1207,Daily,Less,Lack of sit down dining elements,Sit-down dining
1208,Weekly,Less,Poor service,Fast-food
1209,Rarely,Less,High prices,Fast-food
1210,Weekly,Less,High prices,Fast-food
1211,Rarely,More,Lack of sit down dining elements,Sit-down dining
1212,Never visited before,Less,Lack of sit down dining elements,Fast-food
1213,Monthly,Less,Quality of food,Fast-food
1214,Rarely,Less,Poor service,Fast-food
1215,Monthly,Less,Quality of food,Fast-food
1216,Daily,Less,Poor service,Sit-down dining
1217,Never visited before,More,Quality of food,Fast-food
1218,Weekly,Less,Lack of sit down dining elements,Fast-food
1219,Monthly,Less,High prices,Fast-food
1220,Monthly,Less,High prices,Sit-down dining
1221,Monthly,Less,High prices,Sit-down dining
1222,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1223,Monthly,Less,Poor service,Fast-food
1224,Daily,Less,Lack of sit down dining elements,Fast-food
1225,Monthly,Less,High prices,Sit-down dining
1226,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1227,Never visited before,Less,High prices,Fast-food
1228,Daily,Less,High prices,Fast-food
1229,Monthly,Less,Poor service,Sit-down dining
1230,Rarely,Less,Lack of sit down dining elements,Fast-food
1231,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1232,Rarely,Less,Lack of sit down dining elements,Fast-food
1233,Daily,Less,High prices,Sit-down dining
1234,Never visited before,Less,Lack of sit down dining elements,Fast-food
1235,Daily,Less,Lack of sit down dining elements,Fast-food
1236,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1237,Rarely,Less,Quality of food,Fast-food
1238,Monthly,Less,Quality of food,Fast-food
1239,Daily,Less,Lack of sit down dining elements,Fast-food
1240,Never visited before,Less,Lack of sit down dining elements,Fast-food
1241,Rarely,More,Poor service,Fast-food
1242,Monthly,Less,Poor service,Fast-food
1243,Never visited before,Less,Poor service,Fast-food
1244,Weekly,More,High prices,Fast-food
1245,Rarely,Less,Poor service,Fast-food
1246,Weekly,Less,High prices,Fast-food
1247,Weekly,Less,Lack of sit down dining elements,Fast-food
1248,Monthly,Less,High prices,Fast-food
1249,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1250,Rarely,More,Lack of sit down dining elements,Fast-food
1251,Rarely,Less,Quality of food,Fast-food
1252,Rarely,Less,High prices,Sit-down dining
1253,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1254,Monthly,Less,Lack of sit down dining elements,Fast-food
1255,Weekly,Less,Quality of food,Sit-down dining
1256,Monthly,Less,Lack of sit down dining elements,Fast-food
1257,Monthly,Less,Quality of food,Fast-food
1258,Daily,Less,Quality of food,Sit-down dining
1259,Monthly,Less,High prices,Sit-down dining
1260,Monthly,Less,Quality of food,Sit-down dining
1261,Weekly,Less,Lack of sit down dining elements,Fast-food
1262,Rarely,Less,Quality of food,Sit-down dining
1263,Never visited before,Less,Quality of food,Fast-food
1264,Monthly,Less,Poor service,Fast-food
1265,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1266,Weekly,Less,Poor service,Fast-food
1267,Never visited before,More,Quality of food,Fast-food
1268,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1269,Never visited before,More,Lack of sit down dining elements,Fast-food
1270,Monthly,Less,High prices,Fast-food
1271,Weekly,Less,Lack of sit down dining elements,Fast-food
1272,Rarely,More,High prices,Fast-food
1273,Rarely,Less,High prices,Fast-food
1274,Never visited before,Less,High prices,Sit-down dining
1275,Monthly,Less,Quality of food,Fast-food
1276,Monthly,More,Lack of sit down dining elements,Sit-down dining
1277,Weekly,Less,High prices,Fast-food
1278,Monthly,More,Poor service,Fast-food
1279,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1280,Daily,Less,Quality of food,Sit-down dining
1281,Rarely,Less,Poor service,Sit-down dining
1282,Rarely,More,Lack of sit down dining elements,Sit-down dining
1283,Never visited before,More,High prices,Sit-down dining
1284,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1285,Weekly,Less,High prices,Sit-down dining
1286,Rarely,Less,Lack of sit down dining elements,Fast-food
1287,Never visited before,Less,High prices,Fast-food
1288,Never visited before,Less,Lack of sit down dining elements,Fast-food
1289,Monthly,Less,High prices,Fast-food
1290,Monthly,Less,High prices,Fast-food
1291,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1292,Rarely,More,High prices,Fast-food
1293,Rarely,Less,High prices,Fast-food
1294,Monthly,More,Lack of sit down dining elements,Fast-food
1295,Monthly,More,High prices,Sit-down dining
1296,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1297,Never visited before,More,Quality of food,Sit-down dining
1298,Rarely,More,Lack of sit down dining elements,Sit-down dining
1299,Monthly,More,Lack of sit down dining elements,Fast-food
1300,Never visited before,Less,High prices,Sit-down dining
1301,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1302,Rarely,More,Lack of sit down dining elements,Fast-food
1303,Weekly,More,Lack of sit down dining elements,Fast-food
1304,Never visited before,Less,High prices,Fast-food
1305,Daily,Less,Lack of sit down dining elements,Fast-food
1306,Monthly,Less,High prices,Sit-down dining
1307,Never visited before,More,Lack of sit down dining elements,Fast-food
1308,Rarely,Less,Lack of sit down dining elements,Fast-food
1309,Weekly,Less,Quality of food,Sit-down dining
1310,Rarely,Less,High prices,Fast-food
1311,Weekly,More,High prices,Sit-down dining
1312,Daily,More,Quality of food,Fast-food
1313,Monthly,Less,High prices,Fast-food
1314,Monthly,Less,Quality of food,Sit-down dining
1315,Daily,More,Quality of food,Sit-down dining
1316,Monthly,More,Quality of food,Fast-food
1317,Rarely,Less,High prices,Sit-down dining
1318,Never visited before,Less,High prices,Fast-food
1319,Monthly,More,Lack of sit down dining elements,Sit-down dining
1320,Never visited before,Less,Lack of sit down dining elements,Fast-food
1321,Monthly,More,High prices,Sit-down dining
1322,Monthly,Less,Lack of sit down dining elements,Fast-food
1323,Weekly,Less,Quality of food,Fast-food
1324,Daily,Less,High prices,Sit-down dining
1325,Monthly,Less,High prices,Sit-down dining
1326,Rarely,Less,Quality of food,Sit-down dining
1327,Rarely,More,High prices,Fast-food
1328,Rarely,More,Quality of food,Sit-down dining
1329,Monthly,More,Quality of food,Sit-down dining
1330,Monthly,Less,High prices,Sit-down dining
1331,Weekly,Less,High prices,Fast-food
1332,Rarely,Less,Poor service,Sit-down dining
1333,Never visited before,More,Poor service,Fast-food
1334,Weekly,Less,Lack of sit down dining elements,Fast-food
1335,Daily,More,Lack of sit down dining elements,Sit-down dining
1336,Never visited before,Less,High prices,Sit-down dining
1337,Monthly,More,Lack of sit down dining elements,Sit-down dining
1338,Rarely,More,High prices,Sit-down dining
1339,Weekly,Less,Poor service,Fast-food
1340,Monthly,More,High prices,Fast-food
1341,Rarely,Less,Quality of food,Sit-down dining
1342,Rarely,Less,Quality of food,Sit-down dining
1343,Rarely,Less,High prices,Sit-down dining
1344,Rarely,More,Lack of sit down dining elements,Sit-down dining
1345,Monthly,Less,High prices,Fast-food
1346,Rarely,Less,Lack of sit down dining elements,Fast-food
1347,Monthly,Less,Poor service,Sit-down dining
1348,Weekly,More,Lack of sit down dining elements,Fast-food
1349,Rarely,Less,Poor service,Fast-food
1350,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1351,Rarely,Less,Poor service,Fast-food
1352,Rarely,More,Quality of food,Fast-food
1353,Monthly,More,Lack of sit down dining elements,Fast-food
1354,Never visited before,More,Lack of sit down dining elements,Fast-food
1355,Monthly,More,High prices,Fast-food
1356,Monthly,Less,High prices,Fast-food
1357,Weekly,Less,Quality of food,Sit-down dining
1358,Weekly,More,Poor service,Fast-food
1359,Rarely,Less,Quality of food,Sit-down dining
1360,Rarely,More,Quality of food,Sit-down dining
1361,Monthly,Less,Lack of sit down dining elements,Fast-food
1362,Never visited before,Less,Lack of sit down dining elements,Fast-food
1363,Daily,Less,High prices,Sit-down dining
1364,Rarely,Less,Lack of sit down dining elements,Fast-food
1365,Rarely,Less,High prices,Sit-down dining
1366,Monthly,Less,High prices,Fast-food
1367,Rarely,Less,Poor service,Sit-down dining
1368,Weekly,Less,High prices,Fast-food
1369,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1370,Monthly,More,Lack of sit down dining elements,Sit-down dining
1371,Daily,Less,Poor service,Sit-down dining
1372,Weekly,More,High prices,Sit-down dining
1373,Weekly,Less,Quality of food,Fast-food
1374,Monthly,Less,Quality of food,Sit-down dining
1375,Daily,Less,Lack of sit down dining elements,Fast-food
1376,Monthly,More,High prices,Fast-food
1377,Never visited before,More,Lack of sit down dining elements,Fast-food
1378,Daily,Less,Lack of sit down dining elements,Sit-down dining
1379,Weekly,More,Lack of sit down dining elements,Sit-down dining
1380,Monthly,Less,Lack of sit down dining elements,Fast-food
1381,Rarely,More,Lack of sit down dining elements,Sit-down dining
1382,Daily,Less,High prices,Sit-down dining
1383,Daily,More,Poor service,Fast-food
1384,Monthly,Less,Quality of food,Sit-down dining
1385,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1386,Weekly,More,Poor service,Sit-down dining
1387,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1388,Daily,More,High prices,Sit-down dining
1389,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1390,Daily,Less,Poor service,Fast-food
1391,Rarely,Less,High prices,Sit-down dining
1392,Rarely,Less,High prices,Sit-down dining
1393,Never visited before,Less,Quality of food,Sit-down dining
1394,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1395,Monthly,Less,High prices,Fast-food
1396,Rarely,Less,Poor service,Sit-down dining
1397,Never visited before,More,High prices,Sit-down dining
1398,Monthly,Less,Quality of food,Sit-down dining
1399,Monthly,Less,Quality of food,Sit-down dining
1400,Daily,Less,Lack of sit down dining elements,Fast-food
1401,Weekly,Less,Quality of food,Sit-down dining
1402,Weekly,Less,Lack of sit down dining elements,Fast-food
1403,Rarely,Less,High prices,Fast-food
1404,Rarely,Less,High prices,Fast-food
1405,Weekly,Less,Quality of food,Fast-food
1406,Rarely,Less,Quality of food,Fast-food
1407,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1408,Rarely,Less,Lack of sit down dining elements,Fast-food
1409,Never visited before,More,Lack of sit down dining elements,Fast-food
1410,Rarely,Less,Poor service,Sit-down dining
1411,Rarely,Less,Poor service,Fast-food
1412,Never visited before,More,High prices,Sit-down dining
1413,Never visited before,Less,Poor service,Fast-food
1414,Never visited before,Less,Lack of sit down dining elements,Fast-food
1415,Rarely,Less,Quality of food,Sit-down dining
1416,Monthly,Less,Lack of sit down dining elements,Fast-food
1417,Rarely,Less,Poor service,Sit-down dining
1418,Monthly,Less,Poor service,Sit-down dining
1419,Rarely,Less,High prices,Sit-down dining
1420,Monthly,Less,Poor service,Sit-down dining
1421,Rarely,Less,Quality of food,Sit-down dining
1422,Rarely,Less,Lack of sit down dining elements,Fast-food
1423,Rarely,More,Lack of sit down dining elements,Fast-food
1424,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1425,Daily,Less,Lack of sit down dining elements,Fast-food
1426,Daily,Less,Lack of sit down dining elements,Sit-down dining
1427,Rarely,More,Quality of food,Sit-down dining
1428,Weekly,More,Lack of sit down dining elements,Sit-down dining
1429,Monthly,Less,High prices,Fast-food
1430,Never visited before,Less,High prices,Sit-down dining
1431,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1432,Never visited before,More,High prices,Sit-down dining
1433,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1434,Rarely,Less,Quality of food,Fast-food
1435,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1436,Monthly,Less,Lack of sit down dining elements,Fast-food
1437,Rarely,More,High prices,Sit-down dining
1438,Daily,More,Lack of sit down dining elements,Sit-down dining
1439,Monthly,Less,High prices,Sit-down dining
1440,Rarely,More,Lack of sit down dining elements,Sit-down dining
1441,Monthly,Less,Lack of sit down dining elements,Fast-food
1442,Weekly,Less,Quality of food,Sit-down dining
1443,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1444,Monthly,Less,Quality of food,Sit-down dining
1445,Never visited before,Less,High prices,Fast-food
1446,Weekly,Less,Poor service,Sit-down dining
1447,Never visited before,Less,Lack of sit down dining elements,Fast-food
1448,Monthly,More,Quality of food,Fast-food
1449,Daily,Less,Lack of sit down dining elements,Sit-down dining
1450,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1451,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1452,Rarely,Less,Quality of food,Sit-down dining
1453,Daily,Less,High prices,Sit-down dining
1454,Daily,More,High prices,Fast-food
1455,Monthly,Less,Poor service,Fast-food
1456,Rarely,Less,Poor service,Fast-food
1457,Daily,Less,Lack of sit down dining elements,Sit-down dining
1458,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1459,Monthly,Less,High prices,Sit-down dining
1460,Weekly,Less,High prices,Sit-down dining
1461,Weekly,More,High prices,Sit-down dining
1462,Never visited before,Less,Quality of food,Sit-down dining
1463,Weekly,Less,Poor service,Fast-food
1464,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1465,Weekly,More,Poor service,Fast-food
1466,Never visited before,Less,Lack of sit down dining elements,Fast-food
1467,Weekly,Less,Poor service,Fast-food
1468,Rarely,Less,High prices,Fast-food
1469,Daily,Less,Quality of food,Sit-down dining
1470,Weekly,More,Poor service,Sit-down dining
1471,Never visited before,Less,Quality of food,Sit-down dining
1472,Monthly,Less,Quality of food,Sit-down dining
1473,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1474,Rarely,More,Quality of food,Fast-food
1475,Never visited before,Less,Poor service,Sit-down dining
1476,Never visited before,Less,High prices,Sit-down dining
1477,Never visited before,Less,Poor service,Fast-food
1478,Weekly,More,High prices,Sit-down dining
1479,Daily,Less,High prices,Fast-food
1480,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1481,Daily,More,Lack of sit down dining elements,Fast-food
1482,Daily,More,High prices,Sit-down dining
1483,Rarely,Less,Poor service,Fast-food
1484,Never visited before,Less,Poor service,Fast-food
1485,Rarely,More,High prices,Fast-food
1486,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1487,Rarely,Less,Lack of sit down dining elements,Fast-food
1488,Daily,More,Quality of food,Fast-food
1489,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1490,Rarely,Less,High prices,Fast-food
1491,Never visited before,Less,High prices,Sit-down dining
1492,Monthly,Less,Quality of food,Fast-food
1493,Rarely,Less,Quality of food,Fast-food
1494,Daily,More,High prices,Sit-down dining
1495,Never visited before,Less,Quality of food,Sit-down dining
1496,Rarely,Less,Quality of food,Sit-down dining
1497,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1498,Weekly,Less,Lack of sit down dining elements,Fast-food
1499,Monthly,More,Lack of sit down dining elements,Sit-down dining
1500,Monthly,Less,Lack of sit down dining elements,Fast-food
1501,Monthly,More,High prices,Sit-down dining
1502,Rarely,Less,High prices,Sit-down dining
1503,Daily,More,Lack of sit down dining elements,Fast-food
1504,Weekly,Less,High prices,Sit-down dining
1505,Rarely,More,High prices,Fast-food
1506,Rarely,Less,Quality of food,Sit-down dining
1507,Daily,Less,High prices,Sit-down dining
1508,Monthly,Less,High prices,Sit-down dining
1509,Weekly,Less,Lack of sit down dining elements,Fast-food
1510,Never visited before,Less,Lack of sit down dining elements,Fast-food
1511,Rarely,More,Quality of food,Sit-down dining
1512,Rarely,More,Quality of food,Sit-down dining
1513,Never visited before,Less,Poor service,Fast-food
1514,Monthly,Less,Quality of food,Fast-food
1515,Never visited before,Less,Quality of food,Fast-food
1516,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1517,Monthly,More,High prices,Sit-down dining
1518,Daily,Less,Lack of sit down dining elements,Sit-down dining
1519,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1520,Rarely,Less,Poor service,Fast-food
1521,Monthly,Less,High prices,Sit-down dining
1522,Daily,Less,Lack of sit down dining elements,Sit-down dining
1523,Daily,Less,Lack of sit down dining elements,Fast-food
1524,Monthly,Less,Quality of food,Sit-down dining
1525,Daily,Less,Lack of sit down dining elements,Sit-down dining
1526,Rarely,More,Poor service,Fast-food
1527,Monthly,Less,Lack of sit down dining elements,Fast-food
1528,Never visited before,Less,Poor service,Fast-food
1529,Daily,Less,High prices,Sit-down dining
1530,Rarely,Less,Quality of food,Fast-food
1531,Daily,Less,Lack of sit down dining elements,Sit-down dining
1532,Rarely,More,High prices,Sit-down dining
1533,Weekly,Less,High prices,Sit-down dining
1534,Daily,Less,Lack of sit down dining elements,Sit-down dining
1535,Rarely,Less,High prices,Fast-food
1536,Weekly,Less,Poor service,Sit-down dining
1537,Monthly,More,Poor service,Fast-food
1538,Rarely,More,Lack of sit down dining elements,Sit-down dining
1539,Never visited before,Less,High prices,Fast-food
1540,Daily,Less,Lack of sit down dining elements,Sit-down dining
1541,Monthly,Less,Poor service,Fast-food
1542,Monthly,More,Poor service,Sit-down dining
1543,Rarely,More,Lack of sit down dining elements,Sit-down dining
1544,Rarely,Less,Lack of sit down dining elements,Fast-food
1545,Monthly,Less,Poor service,Sit-down dining
1546,Weekly,Less,Quality of food,Sit-down dining
1547,Weekly,More,Lack of sit down dining elements,Sit-down dining
1548,Never visited before,More,High prices,Sit-down dining
1549,Rarely,Less,High prices,Sit-down dining
1550,Weekly,Less,Quality of food,Fast-food
1551,Weekly,Less,High prices,Sit-down dining
1552,Monthly,More,High prices,Sit-down dining
1553,Rarely,Less,Poor service,Sit-down dining
1554,Rarely,Less,High prices,Fast-food
1555,Monthly,Less,High prices,Sit-down dining
1556,Rarely,Less,Lack of sit down dining elements,Fast-food
1557,Rarely,Less,Lack of sit down dining elements,Fast-food
1558,Daily,Less,Lack of sit down dining elements,Sit-down dining
1559,Monthly,More,Lack of sit down dining elements,Sit-down dining
1560,Daily,Less,High prices,Fast-food
1561,Rarely,More,High prices,Sit-down dining
1562,Monthly,Less,High prices,Sit-down dining
1563,Daily,Less,Poor service,Fast-food
1564,Weekly,Less,Quality of food,Fast-food
1565,Weekly,Less,Poor service,Fast-food
1566,Weekly,Less,Poor service,Sit-down dining
1567,Weekly,Less,Lack of sit down dining elements,Fast-food
1568,Rarely,Less,High prices,Sit-down dining
1569,Rarely,Less,Poor service,Fast-food
1570,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1571,Monthly,More,High prices,Fast-food
1572,Weekly,Less,Lack of sit down dining elements,Fast-food
1573,Monthly,Less,High prices,Sit-down dining
1574,Monthly,Less,Poor service,Fast-food
1575,Daily,More,Lack of sit down dining elements,Sit-down dining
1576,Rarely,More,High prices,Fast-food
1577,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1578,Rarely,Less,Lack of sit down dining elements,Fast-food
1579,Weekly,Less,Lack of sit down dining elements,Fast-food
1580,Monthly,Less,High prices,Fast-food
1581,Rarely,Less,Poor service,Sit-down dining
1582,Daily,More,High prices,Sit-down dining
1583,Weekly,Less,High prices,Sit-down dining
1584,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1585,Monthly,Less,Poor service,Fast-food
1586,Daily,Less,Quality of food,Sit-down dining
1587,Never visited before,Less,Poor service,Sit-down dining
1588,Daily,Less,Quality of food,Fast-food
1589,Never visited before,Less,Quality of food,Sit-down dining
1590,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1591,Never visited before,Less,Poor service,Sit-down dining
1592,Monthly,Less,Lack of sit down dining elements,Fast-food
1593,Rarely,Less,Quality of food,Fast-food
1594,Rarely,Less,Lack of sit down dining elements,Fast-food
1595,Daily,More,Lack of sit down dining elements,Fast-food
1596,Daily,More,Poor service,Fast-food
1597,Rarely,Less,Poor service,Fast-food
1598,Never visited before,Less,High prices,Sit-down dining
1599,Rarely,Less,High prices,Sit-down dining
1600,Daily,More,High prices,Sit-down dining
1601,Monthly,More,High prices,Sit-down dining
1602,Monthly,Less,Poor service,Sit-down dining
1603,Monthly,Less,High prices,Fast-food
1604,Never visited before,Less,Quality of food,Sit-down dining
1605,Weekly,Less,High prices,Fast-food
1606,Monthly,Less,Lack of sit down dining elements,Fast-food
1607,Weekly,Less,Lack of sit down dining elements,Sit-down dining
1608,Daily,More,Lack of sit down dining elements,Sit-down dining
1609,Rarely,Less,Lack of sit down dining elements,Fast-food
1610,Rarely,Less,Quality of food,Fast-food
1611,Rarely,Less,High prices,Fast-food
1612,Daily,Less,High prices,Fast-food
1613,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1614,Rarely,Less,High prices,Fast-food
1615,Monthly,Less,Lack of sit down dining elements,Fast-food
1616,Monthly,More,Poor service,Fast-food
1617,Monthly,More,High prices,Sit-down dining
1618,Monthly,More,Lack of sit down dining elements,Fast-food
1619,Weekly,Less,Lack of sit down dining elements,Fast-food
1620,Rarely,Less,High prices,Sit-down dining
1621,Weekly,More,Lack of sit down dining elements,Sit-down dining
1622,Weekly,Less,Quality of food,Fast-food
1623,Rarely,Less,Poor service,Sit-down dining
1624,Rarely,Less,High prices,Sit-down dining
1625,Rarely,More,Poor service,Sit-down dining
1626,Rarely,More,Poor service,Fast-food
1627,Never visited before,More,Quality of food,Sit-down dining
1628,Monthly,Less,Poor service,Sit-down dining
1629,Daily,More,High prices,Sit-down dining
1630,Rarely,Less,Poor service,Sit-down dining
1631,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1632,Monthly,Less,Poor service,Sit-down dining
1633,Daily,More,Quality of food,Fast-food
1634,Never visited before,Less,Quality of food,Fast-food
1635,Rarely,Less,Lack of sit down dining elements,Fast-food
1636,Rarely,More,Lack of sit down dining elements,Fast-food
1637,Never visited before,Less,High prices,Sit-down dining
1638,Daily,Less,High prices,Fast-food
1639,Monthly,Less,Lack of sit down dining elements,Fast-food
1640,Weekly,More,Lack of sit down dining elements,Sit-down dining
1641,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1642,Never visited before,Less,Lack of sit down dining elements,Sit-down dining
1643,Daily,Less,Quality of food,Sit-down dining
1644,Daily,Less,Lack of sit down dining elements,Fast-food
1645,Daily,Less,Poor service,Sit-down dining
1646,Monthly,Less,Quality of food,Fast-food
1647,Monthly,Less,Poor service,Fast-food
1648,Monthly,More,Lack of sit down dining elements,Fast-food
1649,Rarely,Less,High prices,Sit-down dining
1650,Rarely,More,High prices,Fast-food
1651,Weekly,More,Lack of sit down dining elements,Sit-down dining
1652,Daily,More,Lack of sit down dining elements,Sit-down dining
1653,Monthly,Less,Lack of sit down dining elements,Fast-food
1654,Rarely,More,Lack of sit down dining elements,Fast-food
1655,Weekly,Less,High prices,Fast-food
1656,Weekly,Less,High prices,Sit-down dining
1657,Monthly,Less,High prices,Fast-food
1658,Monthly,More,High prices,Sit-down dining
1659,Rarely,More,Lack of sit down dining elements,Fast-food
1660,Monthly,Less,Lack of sit down dining elements,Fast-food
1661,Monthly,More,High prices,Sit-down dining
1662,Daily,Less,Quality of food,Sit-down dining
1663,Weekly,More,Quality of food,Sit-down dining
1664,Daily,Less,High prices,Fast-food
1665,Weekly,Less,High prices,Fast-food
1666,Weekly,Less,High prices,Sit-down dining
1667,Weekly,More,Lack of sit down dining elements,Fast-food
1668,Weekly,Less,High prices,Sit-down dining
1669,Weekly,Less,Lack of sit down dining elements,Fast-food
1670,Weekly,More,Lack of sit down dining elements,Sit-down dining
1671,Daily,More,Lack of sit down dining elements,Fast-food
1672,Rarely,Less,Lack of sit down dining elements,Fast-food
1673,Rarely,Less,High prices,Sit-down dining
1674,Monthly,Less,Lack of sit down dining elements,Fast-food
1675,Never visited before,Less,High prices,Fast-food
1676,Daily,Less,Lack of sit down dining elements,Sit-down dining
1677,Rarely,Less,Poor service,Sit-down dining
1678,Never visited before,Less,High prices,Sit-down dining
1679,Rarely,Less,Lack of sit down dining elements,Sit-down dining
1680,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1681,Monthly,Less,High prices,Fast-food
1682,Rarely,More,High prices,Fast-food
1683,Rarely,More,Quality of food,Fast-food
1684,Weekly,More,Lack of sit down dining elements,Fast-food
1685,Daily,More,Lack of sit down dining elements,Sit-down dining
1686,Monthly,Less,High prices,Fast-food
1687,Daily,More,Lack of sit down dining elements,Fast-food
1688,Monthly,Less,Poor service,Fast-food
1689,Daily,Less,Lack of sit down dining elements,Fast-food
1690,Monthly,Less,High prices,Sit-down dining
1691,Weekly,Less,Lack of sit down dining elements,Fast-food
1692,Monthly,Less,Quality of food,Sit-down dining
1693,Daily,Less,Poor service,Sit-down dining
1694,Rarely,Less,Quality of food,Sit-down dining
1695,Never visited before,More,Poor service,Fast-food
1696,Monthly,Less,Quality of food,Fast-food
1697,Daily,Less,Lack of sit down dining elements,Fast-food
1698,Daily,More,Quality of food,Sit-down dining
1699,Monthly,Less,High prices,Fast-food
1700,Rarely,Less,Lack of sit down dining elements,Fast-food
1701,Monthly,Less,Lack of sit down dining elements,Fast-food
1702,Weekly,More,Lack of sit down dining elements,Sit-down dining
1703,Rarely,Less,Quality of food,Sit-down dining
1704,Rarely,Less,Quality of food,Sit-down dining
1705,Weekly,Less,Quality of food,Fast-food
1706,Never visited before,Less,High prices,Fast-food
1707,Rarely,Less,Poor service,Sit-down dining
1708,Rarely,Less,High prices,Fast-food
1709,Rarely,More,Poor service,Sit-down dining
1710,Monthly,Less,Poor service,Sit-down dining
1711,Monthly,Less,Poor service,Sit-down dining
1712,Rarely,Less,Lack of sit down dining elements,Fast-food
1713,Monthly,More,High prices,Sit-down dining
1714,Monthly,Less,Lack of sit down dining elements,Sit-down dining
1715,Rarely,Less,Quality of food,Sit-down dining
1716,Never visited before,Less,Quality of food,Fast-food
